,nome,porcentagem_desconto,preco,tipo
288,the lego movie 2 videogame,94,6.5,padrao
289,middleearth shadow of mordor  goty edition upgrade,75,4.99,dlc
290,dwarfheim,0,47.49,padrao
291,rush a disney  pixar adventure,0,37.99,padrao
292,remember me,0,49.99,padrao
293,euro truck simulator 2  schwarzmüller trailer pack,0,6.29,dlc
294,rims racing,0,109.99,padrao
295,urban trial freestyle,0,13.99,padrao
296,euro truck simulator 2  mighty griffin tuning pack,0,9.99,dlc
297,the last of us  part i  digital deluxe edition,10,268.9,padrao
298,starship troopers  terran command,0,57.99,padrao
299,minecraft java and bedrock edition,0,129.0,padrao
300,mortal kombat 11 kombat pack 1,90,5.99,dlc
301,crunchyroll mega fan  1 mes,0,19.99,padrao
302,crypt of the necrodancer,0,27.99,padrao
303,dying light definitive edition,80,24.99,padrao
304,dragon ball xenoverse 2,0,159.9,padrao
305,lego dc supervillains  deluxe edition,94,12.75,padrao
306,elden ring,0,249.9,padrao
307,the walking dead a new frontier,0,28.99,padrao
308,lego dc supervillains,94,9.0,padrao
309,human fall flat,0,37.99,padrao
310,back 4 blood ultimate,80,91.99,padrao
311,destiny 2 pacote de renegados,60,15.19,dlc
312,children of morta paws and claws,0,4.49,dlc
313,the messenger,0,37.99,padrao
314,dragon ball xenoverse 2  super pass,0,100.0,dlc
315,euro truck simulator 2  road to the black sea,0,44.99,dlc
316,dragon ball fighterz  fighterz edition,0,239.9,padrao
317,lego batman 3 beyond gotham,94,4.5,padrao
318,metal gear rising  revengeance,0,49.99,padrao
319,warhammer chaosbane  slayer edition,0,75.49,padrao
320,sid meiers civilization vi  platinum edition,0,161.2,padrao
321,hogwarts legacy,0,249.99,padrao
322,moonlighter  between dimensions,80,2.89,dlc
323,ace combat 7 skies unknown  top gun maverick edition,0,219.9,padrao
324,castlevania anniversary collection,0,119.0,padrao
325,code vein,0,149.99,padrao
326,lego marvels avengers season pass,95,1.49,dlc
327,assassins creed valhalla  complete edition,0,499.99,padrao
328,world war z aftermath  deluxe edition,0,94.49,padrao
329,one piece pirate warriors 3  gold edition,0,103.98,padrao
330,my hero ones justice 2,0,159.9,padrao
331,resident evil 7 biohazard,0,69.99,padrao
332,the dark pictures anthology  little hope,50,39.95,padrao
333,spongebob squarepants battle for bikini bottom  rehydrated,0,69.95,padrao
334,phoenix wright ace attorney trilogy,0,69.99,padrao
335,naruto shippuden ultimate ninja storm trilogy,0,160.59,pacote
336,dragon ball fighterz  fighterz pass 2,0,99.9,dlc
337,alone in the dark anthology,0,27.99,padrao
338,no mans sky,0,162.0,padrao
339,lego marvel super heroes 2,90,8.99,padrao
340,dragon ball fighterz  fighterz pass 3,0,79.9,dlc
341,thehunter call of the wild  vurhonga savanna,0,15.99,dlc
342,lego dc supervillains season pass,90,4.99,dlc
343,worms revolution,85,4.19,padrao
344,thehunter call of the wild  atv saber 4x4,0,8.39,dlc
345,thehunter call of the wild  bloodhound,0,8.39,dlc
346,euro truck simulator 2 halloween paint jobs pack,0,4.49,dlc
347,sword art online alicization lycoris  deluxe edition,0,299.9,padrao
348,souldiers,0,45.99,padrao
349,deaths door,0,49.95,padrao
350,the dark pictures anthology  man of medan,50,39.95,padrao
351,ys vi the ark of napishtim,0,36.99,padrao
352,lost planet 3,0,45.99,padrao
353,shadow warrior,0,69.99,padrao
354,ridge racer unbounded,0,19.98,padrao
355,arma 3 marksmen,0,17.99,dlc
356,euro truck simulator 2 ice cold paint jobs pack,0,4.49,dlc
357,one piece burning blood  gold edition,0,219.9,padrao
358,generation zero,0,69.0,padrao
359,eastward,0,73.99,padrao
360,wrc 7 fia world rally championship,0,47.49,padrao
361,horizon chase turbo  senna sempre,0,28.9,dlc
362,far cry 6  deluxe edition,0,314.99,padrao
363,captain tsubasa rise of new champions  deluxe,0,294.9,padrao
364,street fighter 6,10,223.99,prevenda
365,graveyard keeper  stranger sins,60,7.99,dlc
366,euro truck simulator 2  viking legends,0,4.49,dlc
367,watch dogs legion  deluxe edition,0,274.99,padrao
368,solasta crown of the magister,65,27.65,padrao
369,ys origin,0,36.99,padrao
370,euro truck simulator 2  force of nature paint jobs pack,0,4.49,dlc
371,the swords of ditto,0,28.99,padrao
372,code vein  deluxe edition,0,199.99,padrao
373,deadrising 4,0,69.99,padrao
374,children of morta ancient spirits,0,10.89,dlc
375,signalis,10,53.99,padrao
376,indiana jones and the emperors tomb,0,12.39,padrao
377,"star wars battlefront (classic, 2004)",0,20.69,padrao
378,the walking dead the final season,0,71.5,padrao
379,ys seven,0,45.99,padrao
380,injustice 2  standard edition,90,22.99,padrao
