nome,porcentagem_desconto,preço,tipo
LEGO DC Super-Villains,-94%,"R$ 9,00",Padrão
Human: Fall Flat,0,"R$ 37,99",Padrão
Back 4 Blood Ultimate,-80%,"R$ 91,99",Padrão
Destiny 2: Pacote de Renegados,-60%,"R$ 15,19",DLC
Children of Morta: Paws and Claws,0,"R$ 4,49",DLC
The Messenger,0,"R$ 37,99",Padrão
Dragon Ball Xenoverse 2 - Super Pass,0,"R$ 100,00",DLC
Euro Truck Simulator 2 - Road to the Black Sea,0,"R$ 44,99",DLC
DRAGON BALL FighterZ - FighterZ Edition,0,"R$ 239,90",Padrão
LEGO Batman 3: Beyond Gotham,-94%,"R$ 4,50",Padrão
Metal Gear Rising - Revengeance,0,"R$ 49,99",Padrão
Warhammer: Chaosbane - Slayer Edition,0,"R$ 75,49",Padrão
Sid Meier’s Civilization VI - Platinum Edition,0,"R$ 161,20",Padrão
Hogwarts Legacy,0,"R$ 249,99",Padrão
Moonlighter - Between Dimensions,-80%,"R$ 2,89",DLC
ACE COMBAT 7: SKIES UNKNOWN - TOP GUN: Maverick Edition,0,"R$ 219,90",Padrão
Castlevania Anniversary Collection,0,"R$ 119,00",Padrão
CODE VEIN,0,"R$ 149,99",Padrão
LEGO MARVEL's Avengers Season Pass,-95%,"R$ 1,49",DLC
Assassin's Creed Valhalla - Complete Edition,0,"R$ 499,99",Padrão
World War Z: Aftermath - Deluxe Edition,0,"R$ 94,49",Padrão
One Piece Pirate Warriors 3 - Gold Edition,0,"R$ 103,98",Padrão
MY HERO ONE'S JUSTICE 2,0,"R$ 159,90",Padrão
Resident Evil 7 biohazard,0,"R$ 69,99",Padrão
The Dark Pictures Anthology - Little Hope,-50%,"R$ 39,95",Padrão
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,0,"R$ 69,95",Padrão
Phoenix Wright: Ace Attorney Trilogy,0,"R$ 69,99",Padrão
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,0,"R$ 160,59",Pacote
DRAGON BALL FighterZ - FighterZ Pass 2,0,"R$ 99,90",DLC
Alone in the Dark Anthology,0,"R$ 27,99",Padrão
No Man's Sky,0,"R$ 162,00",Padrão
LEGO Marvel Super Heroes 2,-90%,"R$ 8,99",Padrão
DRAGON BALL FighterZ - FighterZ Pass 3,0,"R$ 79,90",DLC
theHunter: Call of the Wild - Vurhonga Savanna,0,"R$ 15,99",DLC
LEGO DC Super-Villains Season Pass,-90%,"R$ 4,99",DLC
Worms Revolution,-85%,"R$ 4,19",Padrão
theHunter: Call of the Wild - ATV SABER 4X4,0,"R$ 8,39",DLC
theHunter: Call of the Wild - Bloodhound,0,"R$ 8,39",DLC
Euro Truck Simulator 2: Halloween Paint Jobs Pack,0,"R$ 4,49",DLC
SWORD ART ONLINE Alicization Lycoris - Deluxe Edition,0,"R$ 299,90",Padrão
Souldiers,0,"R$ 45,99",Padrão
Death's Door,0,"R$ 49,95",Padrão
The Dark Pictures Anthology - Man of Medan,-50%,"R$ 39,95",Padrão
Ys VI: The Ark of Napishtim,0,"R$ 36,99",Padrão
LOST PLANET 3,0,"R$ 45,99",Padrão
Shadow Warrior,0,"R$ 69,99",Padrão
Ridge Racer Unbounded,0,"R$ 19,98",Padrão
Arma 3 Marksmen,0,"R$ 17,99",DLC
Euro Truck Simulator 2: Ice Cold Paint Jobs Pack,0,"R$ 4,49",DLC
One Piece: Burning Blood - Gold Edition,0,"R$ 219,90",Padrão
Generation Zero,0,"R$ 69,00",Padrão
Eastward,0,"R$ 73,99",Padrão
WRC 7 FIA World Rally Championship,0,"R$ 47,49",Padrão
